,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
"1-1",#N/A,0,-0.39636811768977726,-1.1008128424848795,-0.81563575849877989,-1.7526414368327323,-1.0476561877835193,-0.81406919804824851,0.16624749540452899,0.86706360000698035,-0.80397220450997431
"2-1",#N/A,0,-0.13493901645838494,-0.70801744498338115,-0.19532580567148555,-1.6518357067342893,-1.4217381561016245,-1.8628896499406842,-1.0298024557501186,-0.78576568341180542,-1.0886258167048291
"3-1",#N/A,0,-0.058971376100494355,-0.60048688075511569,-0.34561843945038878,-1.1931388470489377,-1.4310860068106326,-1.5738197782990861,-1.1912669475694311,-1.1701212098249516,-1.5561597623264587
"4-1",#N/A,0,0.29101940122791475,-0.16490328924681041,0.04271203616528628,-0.61481078680400369,-1.8902214543219686,-2.0340816620435946,-2.6028597783326894,-2.9895673291209004,-2.2398593130745619
"5-1",#N/A,0,0.20985277620512038,-0.44493081960929937,0.089748036590318658,-1.219335449441217,-2.0285457202978021,-1.839802089329172,-2.4849662653642479,-2.015992211070528,-1.4483357750675174
