,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101
"1-1",#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-1",#N/A,0,0.069360163423469554,-0.012497223219832165,-0.86109985784418375,-1.6497515447138589,-1.803418119793021,-2.342481423331813,-1.5158456954093538,-0.42859946208666055,-0.78912138146040822,-0.32336539382559248,0.23022896804563253,1.0548397533146061,-0.66797588932220986,-2.5969409146876328,-3.3070090368584446,-2.8229926487537389,-1.7577185059009623,-0.23049059020917384,1.5128149855025137,3.1649606919845632,-0.3823830204169929,-0.91215203612985252,-0.62090473829112514,-0.86202386457666791,-1.5528683324434231,-0.14400450224450784,-0.91990750846206037,-0.75473052257919226,-0.12999146942800649,1.8688366209155265,0.62253368517094176,0.43964122190681826,-1.9906998315669613,-3.5591446443806953,-0.693016973337647,-1.0858808109332745,-0.94978832090356125,-1.6784166861943082,-0.94034969594238516,2.0862930489805214,3.086425860255896,3.6625905406381998,3.4203743613458029,0.79305103941537591,-1.6014127960317475,0.25112738928904277,-1.2686325185178724,-2.1248726802900841,0.11904178889841366,0.39947317766008195,-2.4411035157157754,0.67392886203116242,1.1183028039851921,1.01726477517929,1.6858899820151938,2.5621875238661804,3.2960734436112462,4.0751007618947055,3.0893575590319902,1.5842067105637478,1.9259333716845495,2.3032301598354317,2.1234099482709419,1.9186014318139446,1.3550865594734125,1.7913114407211141,4.0098549927494842,2.6824317662518005,2.2781978162497496,1.4833047412481752,0.036359691710240227,1.8857370719411792,-0.6565833635532542,0.53525039667070362,-0.1022064254086173,2.193596677899182,4.1260759779671972,2.3681275236777419,3.9440912042255398,3.3436442332674474,4.1805893900170421,2.1083365286892546,1.5308119651539813,1.2318897273478346,-0.62047373401043793,-0.98881631375376899,-1.074058152662388,0.066124264035536451,0.020797369905683552,0.21944789594723263,-1.4172344957300944,-0.094853552054388918,0.4004825551377128,0.92505700133065938,-0.049427102289296004,-0.68022348114891473,0.20249426811521729,1.7491505284016795,0.69649276246485681
"3-1",#N/A,0,0.15853751639650182,-0.20297537028907203,-1.4363871896579721,-1.8750048506147095,-2.4986399877276391,-3.1077893088632704,-1.0083517029948994,-1.5285092816832779,-0.27033683317692569,-0.95184521358335505,1.2277411682770465,0.38801689717712734,-0.99295583090812256,-3.7188223127410494,-3.4906195569172356,-4.1860704239295607,-0.94997446663270946,-1.5360513224193988,4.3578566492975401,1.0931702538481221,0.70018519618698027,-1.6649177813656686,0.11879065464324667,-2.7228219465650869,-0.036848460091267854,-1.7440155054194419,-0.1200456050000267,-1.967142938289185,1.5764564255597273,1.0435104102412267,1.0697790911083909,0.69336605060044731,-4.4557991945972644,-1.9096863509845072,-2.2017409544537774,-1.0776790372219371,-1.2398157120017466,-2.7477715193655352,0.4799610677460302,2.0097486460464529,4.3996572728419157,4.2394976334943069,4.6975085814254367,-1.1159343416033147,0.44045397074610637,-1.1122890595341106,-1.5371848855860164,-2.6954610710109854,1.9273543307445276,-2.8353728661510056,-0.28816393464069201,0.14840903766502311,1.2904766855740188,1.467116864052489,2.4481998775723781,3.2150830621692963,4.535020853439959,5.0936552253373746,3.2008714858413838,2.5567786803881498,2.5458640143540165,2.9019110167878366,2.5623942304064404,2.6613782896515814,1.1436655526716584,3.701330627220369,4.4801163945292313,2.5812033737841,4.5892546883259122,-0.96040124949065087,3.4913206339190848,-0.66881728929859874,0.96495946252503972,0.11938904083301694,-0.43157602209809631,5.2239453365958397,2.1718867819714549,5.6475640232860105,3.2719563402392691,5.685231537033669,4.3328322128523373,2.3579134807433544,3.0123298503773497,-0.010633571357755001,0.31337929232788753,-2.3560740516558853,0.17021609905948065,-1.3215560117376639,1.5305075556162882,-1.6568364901062831,-0.27286646625120992,-0.71780035073919857,1.0583695207250332,0.65487549090281405,-0.18223506356282515,-0.70190422363849825,0.83649626491433193,2.0979873169497942,-0.22522838048137994
"4-1",#N/A,0,0,0.15496422916878339,-0.22620980256854667,-1.4552713339604979,-1.8908593645870928,-2.5232365560815504,-3.08257573714473,-1.0085910460442724,-1.5255174943435506,-0.27341307800602815,-0.92252196541971987,1.230724118972256,0.34930368476021023,-1.0506315440598064,-3.7357171512406833,-3.5072380589710215,-4.150661342152949,-0.94578388721580076,-1.449309418626348,4.3499233388828298,1.0465741032557432,0.67593910036071303,-1.6454279897179145,0.079054276649825034,-2.7072221495538455,-0.040462064037156374,-1.7435625666483692,-0.1398434080361905,-1.9230722558760314,1.5986412737939886,1.0284043670926564,1.0711181646150902,0.60081860388430441,-4.454267648885418,-1.8840248711220815,-2.2090129236398464,-1.0805891496617417,-1.2738062705825883,-2.7069677646098413,0.53573216204679752,2.0534823929675818,4.4214558934795845,4.2590625784403109,4.6117504570779699,-1.1226001276508644,0.44970076962216127,-1.1460967909923234,-1.5641588303591505,-2.6188544265666627,1.8715016372986373,-2.8483725257518366,-0.23920965174371422,0.16006476666847103,1.297070954504163,1.4941684424348003,2.4771090058761627,3.2523791319637589,4.5690038233074661,5.0771280734450794,3.1908031750868964,2.5749586438867746,2.5643147014059631,2.9068104683123726,2.5725644280133912,2.6467282620990922,1.1880208873032239,3.7521620156187971,4.4531079850026014,2.6172515283449949,4.5280295381921043,-0.92244005948093921,3.4779893861614051,-0.68622442930945082,0.97962908540637195,0.10111135611784382,-0.33088605256349884,5.2235349148021619,2.2006502479363781,5.6646507493258698,3.3048722943652038,5.7039319631535079,4.2983748428829944,2.3750033167239208,2.9831890915244328,-0.027997850832314607,0.2805680712217517,-2.334162746167312,0.16553719522727164,-1.2938721011761747,1.4987921802753401,-1.6661436072043785,-0.25964378580620256,-0.69599886981011294,1.0631787747787267,0.63394232766187675,-0.19457002967087925,-0.67323090153883314,0.87233023019894229,2.0606620282482173
"5-1",#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-1",#N/A,0,0.09908594774781368,-0.209292537623509,-1.3420813351347798,-0.97928856479883619,-0.82439275969295711,-1.2711398652939838,1.3007025797050038,-0.012347775868224872,0.15432649325066919,-0.15867798087961307,1.5125449486388167,0.15386542031283049,-1.9968889540370933,-2.9750048912366847,-0.87146254996911365,-0.85720866956447683,1.8264565474421472,0.21615672645428377,4.4742848426937911,-0.40921272174937068,-2.4035032804306993,-1.2506520413177722,1.005314335296513,-2.04966534027227,0.80466224814239207,-0.18639541738264287,0.023363299505733293,-1.0212020507622546,2.2732356300652268,1.1443296244182795,-0.77919364153939874,0.069071533273940083,-4.7737439455650392,0.078999554592846424,1.3236597926165072,-0.37509969325037906,-0.15010821079741293,-1.753286870564114,2.1047223249574101,2.8767614148488763,2.2558559635031545,1.1244073929980849,1.0091908615021343,-4.4235399399226489,-0.3438318064518312,0.47696453783113663,-1.7438563578843138,-1.3913588123471452,3.9514921057492365,-2.880970428050361,-0.67054304052500691,2.5251394812183063,0.60122097081733628,0.34014284021524999,1.3953632769211703,1.4911786452093492,1.9237903766352373,1.7528954327057509,-0.8524966823261857,-0.51933942222861673,0.9377513239054982,0.95171567375458865,0.25272147294968661,0.52459490752119764,-0.75567163452443242,2.2879184425296879,2.6219635573080824,-1.393136558942734,1.859420931532102,-3.1580902568172391,1.9580983312389075,-0.68764688306567878,-0.89788786384639452,0.7566823926354318,-0.94279193909703751,5.1937481745894161,-0.02117020644239492,1.4836651509645047,0.88136040351788447,1.6978570700401814,0.96459761059480398,-1.7773657416580393,0.881520819187398,-1.5031265159582854,-0.8956770494708618,-1.6924547749265453,1.1302198561599592,-0.24134527351568344,1.4279799726706299,-1.6359293139607081,-0.48007584729993297,0.68204680905014925,1.1245549313616252,0.24806894448332256,-1.0797657291337737,-0.63625709694261934,1.4790153875591199,1.8483727092722761,-1.9252975341618912
